fund_name,company,activity,activity_original,translation_check
EQT Partners Spain,Solarpack,Energys Renewables,Energys Renewables,ok
Enagás Emprende,Solatom,Eficiencia Energértica,Eficiencia Energértica,review
Fundación Ship2B,Solatom SCP,Clima (módulos ahorro energy),Clima (módulos ahorro energy),review
Ona Capital Privat,Solfy,Renewable energy,Renewable Energy,ok
Proa Capital de Inversiones,Solitium SL,Services ofimáticos,Services ofimáticos,review
EDP Ventures España,SolShare,Platform for comercio of electricidad for aldeas fuera of the grid/network,Plataforma de comercio de electricidad para aldeas fuera de la red,ok
Ona Capital Privat,Soltech Energy Suecia AB,Renewable energy,Renewable Energy,ok
Nexxus Iberia,Solutex,Manufacturing Ingredients,Manufacturing Ingredients,ok
GPF Capital,SOMOS Experiences,Organización of eventos corporativos,Organización de eventos corporativos,review
ENION VENTURE PARTNERS,Soof,Lead generator instalaciones fotovoltaicas,Lead generator instalaciones fotovoltaicas,ok
"Nazca Capital, S.G.E.I.C., S.A.",Soy Olivia,Leading influencer marketing agency,Agencia leader en influencer marketing,ok
Ysios Capital Partners,SparingVision,Treatment of diseases oftalmológicas,tratamiento de enfermedades oftalmológicas,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Specialized Technology Resources España, S.A. (STRE)",Manufacturing of film of alta barrera for packagings alimentarios,Manufacturing de film de alta barrera para embalajes alimentarios,ok
Fundación Ship2B,Spherag Tech,IoT Clima (análisis terreno agrícola),IoT Clima (análisis terreno agrícola),review
Bullnet Capital,Sphere Ultrafast Photonics,Sistemas of control and medida for láseres of pulsos ultracortos,Sistemas de control y medida para láseres de pulsos ultracortos,review
Cardumen Capital,SPINACH,Software B2B,Software B2B,ok
Asabys Partners,Splice Bio,Development of new genetic-origin therapies using inteins,Desarrollo de nuevas terapias de origen genético mediante inteinas,ok
Ysios Capital Partners,SpliceBio,Treatment diseases oftalmológicas,Tratamiento enfermedades oftalmológicas,review
Elewit|EDP Ventures España,Splight,Solution based on IA for operaciones avanzadas of grid/network,Solución basada en IA para operaciones avanzadas de red,ok
bd-capital,Sport Pursuit,Ventas privadas online of products sportss (UK),Ventas privadas online de products sportss (UK),ok
Samaipata|Seaya|Acurio Ventures,Spotahome,Marketplace of rental of housing a medio and largo plazo,Marketplace de alquiler de viviendas a medio y largo plazo,ok
Cardumen Capital,SPOTLIGHT,AI,Artificial Intelligence,ok
EDP Ventures España,Spotlite,Monitoreo with tecnol of teledetección and img of observ of the Tierra,Monitoreo con tecnol de teledetección e img de observ de la Tierra,review
Samaipata,Sqwad,Software for the management of clientes,Software para la gestión de clientes,ok
HIG Capital,Standard Hidráulica,Distributor of gas and water control and connection products,Distribuidor de products de control y conexión de gas y agua,ok
Sabadell Venture Capital,Stayforlong,Platform for reservas of alojamientos hoteleros of larga estancia,Plataforma de reservas de alojamientos hoteleros de larga estancia,ok
Torsa Capital,"Stayforlong, S.l.",Plataforma travel,Plataforma viajes,ok
Elewit,Stellar,Conectividad,Conectividad,ok
Nexxus Iberia,STM,Services of seguridad,Services de seguridad,ok
4Founders Capital,StockAgile,ERP for integrated stock management in retail companies,ERP para la gestión integral del stock en las empresas de retail,ok
Adara Ventures,Stratio,Big data Infrastructure,Big Data Infrastructure,ok
Samaipata,Streamloots,Plataforma lpara the creation of content,Plataforma lpara la creación de contenido,ok
Ares Management,Suanfarma,Healthcare,Healthcare,ok
Cardumen Capital,SUBSTRATA,AI,Artificial Intelligence,ok
Ona Capital Privat,Sud Energies Renovables,Renewable energy,Renewable Energy,ok
Acurio Ventures,Sunhero,Service personalizado for the rental and the compra of sistemas fotovoltaicos,Service personalizado para el alquiler y la compra de sistemas fotovoltaicos,ok
Xesgalicia,"Sunrock Biopharma, S.L.","I+D, prod. and comerc. of products and services for the diag. and tratam. of the cancer","I+D, prod. y comerc. de products y services para el diag. y tratam. del cáncer",ok
Sociedad de Desarrollo de Navarra (SODENA),Sunsundegui,Manufacturing of carrocerías of autobús,Manufacturing de carrocerías de autobús,review
Portobello Capital Gestión,Supera,Management of centers sportss concesionales,Gestión de centers sportss concesionales,ok
GAEA Inversión,Supermercados BM,Supermarket chain focused on quality and fresh products,Chain de supermercados con foco en calidad y producto fresco,ok
Alantra Private Equity,Surexport,Production and commercialization of frutos rojos,Producción y comercialización de frutos rojos,ok
Athos Capital,Sycai,Software IA aplicado a radiodiagnostico,Software IA aplicado a radiodiagnostico,ok
Fundación Ship2B,Sycai Technologies,Healthcare (AI radiología pancreas),Healthcare (AI radiología pancreas),review
bd-capital,Symprove,Product probiótico,Producto probiótico,review
Samaipata,Symterra,Sistema of control of aves,Sistema de control de aves,ok
Ysios Capital Partners,Synendos Therapeutics,Treatment of diseases of the sistema nervioso central,Tratamiento de enfermedades del sistema nervioso central,ok
Ourcrowd Iberia,Syqe Cannabis,Inalados of canabis for the treatment ofl dolor,Inalados de canabis para el tratamiento del dolor,ok
Aurica Capital Desarrollo,T2Ó,Digital Marketing,Digital Marketing,ok
K Fund,Tacter,Online community for gamers,Comunidad online para gamers,ok
Repsol Energy Ventures,Tactotek,Integración of electronics in plastics,Integración de electrónica en plásticos,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Tagsonomy, S.L.",Development of interactive tools for audiovisual content,Desarrollo de herramientas interactivas para contenidos audiovisuales,ok
Ysios Capital Partners,TagWorks,Plataforma based on the química of clic,Plataforma basada en la química de clic,review
Sociedad para el Desarrollo Industryl de Extremadura (SODIEX)/SEPIDES,Talayuela Golf,Hotel,Hotel,ok
Q-Impact,Talento y Experiencia,Services industriales with personas with discapacidad,Services industryles con personas con discapacidad,ok
bd-capital,Tap Tap Digital,Services tecnológicos in publicidad digital (Spain),Services tecnológicos en publicidad digital (Spain),review
Unirisco,Taste Lab,SaaS of análisis sensorial,SaaS de análisis sensorial,review
Cardumen Capital,TASTY URBAN,FoodTech,FoodTech,ok
Ona Capital Privat,Tattoox,SaaS Enabled Marketplacve,SaaS Enabled Marketplacve,ok
MCH Private Equity Investments,TCI Cutting,Manufacturing of máquinas of corte,Manufacturing de máquinas de corte,review
Caixa Capital Risc,TECALUM SL,Industrial,Industryl,ok
Torsa Capital,Techaway Technologies,ICT,ICT,ok
Institut Catalá de Finances Capital (ICF),Tecnic Bioprocess Equipment Manufacturing SL,Industrial - Maquinas,Industryl - Maquinas,ok
Miura Partners,Tekman,Development and commercialization of innovative educational programs,Desarrollo y comercialización de programas educativos innovadores,ok
Kartesia,Teknicalde,Manufacturing of piezas metálicas a medida,Manufacturing de piezas metálicas a medida,review
Clave Mayor,"Telum Therapeutics, SL.",Development of new antimicrobial compounds,Desarrollo de nuevos compuestos antimicrobianos,ok
CVC Capital Partners,Tendam,Grupo Textil,Grupo Textil,ok
Realza Capital,Tendencias Cerámicas,Pavimento and revestimiento cerámico of formato pequeño,Pavimento y revestimiento cerámico de formato pequeño,review
Suma Capital,Tennders,"Marketplace of cargas, SaaS for operadores logísticos","Marketplace de cargas, SaaS para operadores logísticos",review
EDP Ventures España,Terabase,Automation of photovoltaic plant installation processes,Automatización del proceso de instalación de plantas fotovoltaicas,ok
Sociedad para el Desarrollo Industryl de Extremadura (SODIEX)/SEPIDES,Termoplásticos Extremeños,Plastic packaging,Envases de Plásticos,ok
Sherpa Capital Entidad Gestora SGEIC,Terra Cellars,Bodega,Bodega,ok
Xesgalicia,"Terra do Castelo, S.L.",Sector vitivinícola,Sector vitivinícola,review
"Nazca Capital, S.G.E.I.C., S.A.",Terratest,Cimentaciones especiales,Cimentaciones especiales,ok
Samaipata,The Colvin Co,Platform for the compra online of flores,Plataforma para la compra online de flores,ok
Aurica Capital Desarrollo,The Combined Services Provider Limited (CSP),Seguridad,Seguridad,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"The EQ Project Int., S.L.",Inteligencia of data for the evaluación of rendimiento of equipos of trabajo,Inteligencia de datos para la evaluación de rendimiento de equipos de trabajo,review
4Founders Capital|Seaya,The Hotels Network,SaaS que permite mejorar the ratios of conversión in hotels,SaaS que permite mejorar los ratios de conversión en hotels,review
GPF Capital,The Natural Fruit Company,Agriculture,Agriculture,ok
Acurio Ventures,The Power MBA,Escuela of negocios,Escuela de negocios,ok
Tresmares Capital,The Rug Company (UK),Design and sale of luxury carpets,Diseño y venta de alfombras de lujo,ok
GVC Gaesco,The Sampling Solutions,Obtención of pruebas for laboratorio,Obtención de pruebas para laboratorio,review
True Global Ventures,The SandBox,"Metaverso, Web3","Metaverso, Web3",ok
Alter Capital Desarrollo,"The South Capital Partners, S.L.",Energys renewables,Energys renewables,ok
Athos Capital,The Stage Ventures,Tienda física and online of marcas aspiracionales,Tienda física y online de marcas aspiracionales,review
Ona Capital Privat,The Tropic Feel,DNVB Travel Fashion,DNVB Travel Fashion,ok
Miura Partners,The Visuality Corporation,Solutions of visual merchandising sustainable and of alta gama for the retailers,Soluciones de visual merchandising sostenible y de alta gama para los retailers,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"TheNextPangea, S.L.",Investigación industrial and development tecnológico and su explotación comercial,Investigación industryl y desarrollo tecnológico y su explotación comercial,review
GAEA Inversión,Ticnova,Grupo especializado in the sale of equipos informáticos and electronics of consumer,Grupo especializado en la venta de equipos informáticos y electrónica de consumer,review
Miura Partners,Tierra,Leader in espacios verdes sustainables,Líder en espacios verdes sostenibles,ok
"HUNOSA EMPRESAS, S.A., S.M.E.",TIMBERFOR S.L.,Explotación and management forestal,Explotación y gestión forestal,review
Cinven Spain,Tinsa,Tasadora,Tasadora,ok
Samaipata,Together Price,"Solution todo in uno for administrar planes of suscripción grupal, dividir costos","solución todo en uno para administrar planes de suscripción grupal, dividir costos",review
Cardumen Capital,TOMATO,AI,Artificial Intelligence,ok
Riverside España Partners,Toolport,Proveedor of carpas profesionales and repuestos,Proveedor de carpas profesionales y repuestos,ok
Institut Catalá de Finances Capital (ICF),Top Doctors,TIC - SaaS,TIC - SaaS,ok
Seaya,Toqio,SaaS que permite a the clientes integrar products financial in su business,SaaS que permite a los clientes integrar products financieros en su negocio,ok
Vigo Activo,Torculo Comunicación Gráfica,Artes Gráficas,Artes Gráficas,review
Portobello Capital Gestión,Torre Oria,Production and distribution wine by-products,Production and distribution wine by-products,ok
Samaipata,Totem,Microtiendas minoristas in oficina,microtiendas minoristas en oficina,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),Toy Zone Trade S.L.,Toy design and creation of related digital content,Diseño de juguetes y creación de contenidos digitales relacionados,ok
"HUNOSA EMPRESAS, S.A., S.M.E.","TRABAJOS Y SERVICIOS NORTE, S.L.","Design, manufacturing and assembly of piping systems","Diseño, manufacturing y montaje de sistemas de tuberias",ok
Suma Capital,TradeInn,Retailer online of material sports,Retailer online de material sports,ok
Ardian Spain,Trados M45,Autopistas,Autopistas,ok
Swanlaab Venture Factory,Trappit,Travel Tech,Travel Tech,ok
Bewater Asset Management,Traventia,Travel online paquetizados,Viajes online paquetizados,ok
Sabadell Venture Capital,Trendier,Marketplace of compra and sale of ropa of segunda mano of mujer in Mexico,Marketplace de compra y venta de ropa de segunda mano de mujer en México,ok
Alter Capital Desarrollo,Trending Corporate SL,Representación and distribution of cosméticos,Representación y distribución de cosméticos,review
Cantabria Capital,Tres Mares,Balnearios,Balnearios,ok
"HUNOSA EMPRESAS, S.A., S.M.E.",TRIDITIVE S.L.,Manufacturing aditiva,Manufacturing aditiva,ok
Creas Impacto Global SGEIC,TRILEMA,Education,Education,ok
Acurio Ventures,Troop,Software for organizar travel corporativos,Software para organizar viajes corporativos,ok
Enagás Emprende|Repsol Energy Ventures,Trovant,Upgrading of biogás,Upgrading de biogás,review
Sociedad para el Desarrollo Industryl de Extremadura (SODIEX)/SEPIDES,Trovideo,Production of progamas of TV,Producción de progamas de TV,ok
Alter Capital Desarrollo,Tu Super Purchase SL,Retail/food & beverage,Retail/food & beverage,ok
Espiga Equity Partners,Tubing Food,Manufacturing of equipamiento for the dispensa of beverages,Manufacturing de equipamiento para la dispensa de bebidas,ok
Bolsa Social,Tucuvi,AI-based virtual assistant,Asistente virtual basado en inteligencia artificial,ok
DeA Capital Alternative Funds Sucursal España,Turatti,Machinery for embalado of verdura,Maquinaria para embalado de verdura,ok
Suma Capital,Turris,Premium bakery chain,Chain de panaderías premium,ok
Realza Capital,Turris Panem,Bakeries artisanal premium,Panaderías artesanales premium,ok
4Founders Capital,Tutrocito,E-commerce for customized furniture in minutes,E-commerce de furniture personalizados en minutos,ok
Athos Capital,Tuvalum,Marketplace of bicicletas of segunda mano,Marketplace de bicicletas de segunda mano,ok
Bolsa Social,Twin and Chic,"Firma of fashion infantil sustainable, 100% orgánica and reciclable","Firma de moda infantil sostenible, 100% orgánica y reciclable",review
Vigo Activo,Uarx Space SL,Services of Transporte Espacial,Services de Transporte Espacial,ok
Xesgalicia,"Uarx Space, S.L.",Sector Aeroespacial,Sector Aeroespacial,ok
CVC Capital Partners,UAX,Universidad Privada,Universidad Privada,ok
Gestión de Capital Riesgo del País Vasco,Ubikare Zainketak,Software,Software,ok
Kartesia,UCAM,Universidad privada presencial with sede in Murcia,Universidad privada presencial con sede en Murcia,ok
Cinven Spain,Ufinet,Internacional Operador of optical fiber (LatAm),Internacional Operador de fibra óptica (LatAm),ok
Ares Management,Unavets,Clinicas veterinarias,Clinicas veterinarias,ok
Acurio Ventures,Uncapped,Financiación rápida and flexible for startups,Financiación rápida y flexible para startups,review
Realza Capital,Uniformes Gary's,Vestuario Laboral,Vestuario Laboral,ok
Alantra Private Equity,Unión Martín,Extracción and commercialization of products of the mar,Extracción y comercialización de products del mar,review
Tikehau Investment Management (Sucursal en España),Universidad Europea,Universidades,Universidades,ok
"Permira Asesores, S.L.U.",Universidad Europea*,Education,Education,ok
Prosegur Tech Ventures,Unnax (España),Fintech: solution of Banking as a Service,Fintech: Solución de Banking as a Service,ok
Sherpa Capital Entidad Gestora SGEIC,Unnox,Masterbaches,Masterbaches,ok
Suma Capital,UNUE Gas Renovable,Construction and operation of a biomethane module,Construction y operación de un módulo de biometano,ok
Elewit,Unusuals,IA,IA,ok
Clave Mayor,Uptech Sensing SL,Solutions of monitorización based on optical fiber,Soluciones de monitorización basados en fibra óptica,review
K Fund,Urbanitae,Platform for inversión inmobiliaria,Plataforma de inversión inmobiliaria,review
Buenavista Equity Partners,Uruk,Inversión in marinas sportss and varaderos,Inversión en marinas deportivas y varaderos,review
Tikehau Investment Management (Sucursal en España),Uvesco,Gran consumer and distribution alimentaria,Gran consumer y distribución alimentaria,ok
GVC Gaesco,Vacway,Fundas impermeables for mobilees and taquillas,Fundas impermeables para moviles y taquillas,ok
Ona Capital Privat,Vagasun Energia,Photovoltaic solar plant,Photovoltaic solar plant,ok
GPF Capital,Valdenebro,Real Estate - residential,Real Estate - Residencial,ok
4Founders Capital,Valerdat,Artificial intelligence to optimize the supply chain,Artificial Intelligence para optimizar la supply chain,ok
Caixa Capital Risc,VALIDATED ID SL,ICT,ICT,ok
HIG Capital,Valle Romano,Activos real estates,Activos Inmobiliarios,ok
Suma Capital,Vallfirest,Technology and solutions for the prevención and extinción of incendios forestales,Technology y soluciones para la prevención y extinción de incendios forestales,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Válvulas Fevisa S.A.,Construction and machining of metal components and capital goods,Construction y mecanizado de componentes metálicos y bienes de equipo,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)","Válvulas Fevisa,S.A.U (Antes Talleres Jesús Álvarez)",Manufacturing of válvulas for the sector of the petróleo and gas,Manufacturing de válvulas para el sector del petróleo y gas,review
Ysios Capital Partners,VarmX,Treatment of the daño causado by the consumer of anticoagulantes,Tratamiento del daño causado por el consumer de anticoagulantes,review
Gawa Capital Partners,Varthana,Microfinance,Microfinance,ok
MCH Private Equity Investments,Vaughan Systems,Formación in inglés,Formación en inglés,review
Tresmares Capital,Veezu (UK),Platform for conductores privados,Plataforma de conductores privados,ok
ENION VENTURE PARTNERS|Suma Capital,Vega Chargers,Electric vehicle chargers,Cargadores de vehículo eléctrico,ok
Whitehole,Velatia,Capital goods for the transmission and distribution of electricity,Bienes de equipo para el transporte y distribución de energy eléctrica,ok
NOSO CAPITAL SGEIC S.A,Velca Electric Vehicle,Motos electricas,Motos electricas,ok
Sociedad de Desarrollo de Navarra (SODENA),Velites Sport,Products personalizados for the práctica sports,Productos personalizados para la práctica deportiva,review
Cardumen Capital,VENDICT,AI,Artificial Intelligence,ok
GVC Gaesco,Venvirotech Biotechnology,Production plastics biodegradables,Producción plásticos biodegradables,ok
Cardumen Capital,VERAX,AI,Artificial Intelligence,ok
Samaipata,Veremark,Investigación of antecedentes and verificaciones previas a the contratación,Investigación de antecedentes y verificaciones previas a la contratación,review
Corpfin Capital,Versus,Plataforma education oposiciones fuerzas of the estado,Plataforma education oposiciones fuerzas del estado,ok
EDP Ventures España,Vertequip,Equipos of acceso in altura,Equipos de acceso en altura,ok
umgi,VESCO,"Minería, production and distribution of materias primas ceramicss","Minería, producción y distribución de materias primas ceramicss",review
"HUNOSA EMPRESAS, S.A., S.M.E.","VETRO TOOL, S.A.",Machinery vidrio and auxiliares,Maquinaria vidrio y auxiliares,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Vía Inteligente,Pavimento inteligente,Pavimento inteligente,ok
GPF Capital,Vicarli,Logistics and Transporte,Logistics y Transporte,ok
4Founders Capital,Vidext,Creates professional videos from text in more than 40 languages,Crea vídeos profesionales a partir de texto en más de 40 idiomas,ok
HCapital,Vidrexport,Packaging vidrio,Embalaje vidrio,ok
Bullnet Capital,Viewtinet,Software of monitorización of networks,Software de monitorización de redes,review
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Villaviciosa Energía,Fuel retailing,Comercialización de combustibles,ok
HCapital,Vipremi,Premanufacturescion,Prefabricacion,ok
Enagás Emprende,Vira,Sale of equipos of detección of emisiones of gases,Venta de equipos de detección de emisiones de gases,review
Acurio Ventures,Virtex,Virtual ecosystem simulating a stadium where events can be recreated,Ecosistema virtual que simula un estadio en el que se pueden recrear eventos,ok
Portobello Capital Gestión|CVC Capital Partners,Vitalia,Residencias elderly care,Residencias tercera edad,ok
Corpfin Capital|Artá capital,Vitaly,Proveedor of services of seguridad and Healthcare laboral,Proveedor de services de seguridad y Healthcare laboral,ok
4Founders Capital,Viterbit,Platform for management of talento enfocada in optimizar the procesos of selección,Plataforma de gestión de talento enfocada en optimizar los procesos de selección,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Vitesia Mobile Solutions S.L.,Solutions of mobileidad,Soluciones de movilidad,ok
Buenavista Equity Partners,Vitro,Biotechnology,Biotechnology,ok
"Murcia Emprende, S.C.R., S.A.",VIVA in VITRO SL,Health.Sepsis,Health.Sepsis,ok
Ares Management,VivaGym,Gyms,Gyms,ok
Ares Management|Portobello Capital Gestión,Vivanta,Dental clinics and aesthetic medicine,Clínicas dentales y medicina aesthetics,ok
Gestión de Capital Riesgo del País Vasco,Vive Biotech,Biotechnology,Biotechnology,ok
Ysios Capital Partners,Vivet Therapeutics,Terapia génica,Terapia génica,review
Samaipata,Vivla,Company enabling co-ownership of luxury second homes,Empresa que permite la copropiedad de segundas residencias de lujo,ok
JME Venture Capital,VOI,Electric scooter rental,Alquiler de patinetes electricos,ok
K Fund,Voicemod,Real-time voice changer for PC & Mac,Cambia tu voz en tiempo real para PC & Mac,ok
Meridia,Volotea Holding Europe,Spanish airline offering flights between medium-sized and small cities,Aerolínea española que ofrece vuelos entre ciudades medianas y pequeñas,ok
EDP Ventures España,Voltbras,SW for management of estaciones of carga for vehíc. eléctricos,SW para gestión de estaciones de carga para vehíc. eléctricos,review
ENION VENTURE PARTNERS|Suma Capital,Vonzu,"SaaS, logistics última milla","SaaS, logistics última milla",review
Athos Capital,Vosbor,Platform for the trading of commodities agrícolas,Plataforma para el trading de commodities agrícolas,review
Bolsa Social,Voxprima,Metodología inclusivca of enseñacia for children,Metodología inclusivca de enseñacia para niños,review
EDP Ventures España,Vyntelligence,Informes of vídeo inteligentes for equipos of campo,Informes de vídeo inteligentes para equipos de campo,review
Institut Catalá  de Finances Capital (ICF),Vytrus,Services - cosmetics and farmacia,Services - Cosmética y farmacia,ok
GVC Gaesco,Vytrus Biotech,Principios activos,Principios activos,ok
Bolsa Social,Wake Up and Smile,Realidad virtual for acompañar treatments medical,Realidad virtual para acompañar tratamientos médicos,review
Demeter Investment Managers,Walberg Urban Electric,Sustainable Mobility,Sustainable Mobility,ok
Iberdrola Ventures - Perseo|Seaya,Wallbox,Estaciones inteligentes of carga of electric vehicles,Estaciones inteligentes de carga de vehículos eléctricos,ok
Prosegur Tech Ventures,Walmeric (España),SaaS: optimización of Leads for the generación of ventas (L2RM),SaaS: optimización de Leads para la generación de ventas (L2RM),review
ENION VENTURE PARTNERS,Wattwim,SaaS for ingenierías installation fotovoltaica,SaaS para ingenierías instalación fotovoltaica,review
Suma Capital,Wattwin,"SaaS, herramienta of instaladores energéticos","SaaS, herramienta de instaladores energéticos",review
Gawa Capital Partners,WayCool,Agro-SME,Agro-SME,ok
Bewater Asset Management,We Are Knitters,Kits for tejer lana and algodón,Kits para tejer lana y algodón,review
GoHub Ventures|Athos Capital,Wenalyze,Herramienta of data analytics,Herramienta de data analytics,ok
Repsol Energy Ventures,WesmartPark,"Mobileidad, Park-Sharing","Movilidad, Park-Sharing",ok
Bewater Asset Management,Wetaca,Home delivery of prepared healthy meals,Envío de comida preparada y Healthcareable a domicilio,ok
Miura Partners,Wikiloc,Pionero in activities sustainables al aire libre,Pionero en activities sostenibles al aire libre,ok
Athos Capital,Witsound Technologies,Software of edición of audio for procesos Quality Assurance,Software de edición de audio para procesos Quality Assurance,review
GVC Gaesco,Wolorent,Residential rental,Alquiler viviendas,ok
Bullnet Capital,Wooptix,"Software of procesamiento of imagen, imagen integral, imagen 3D","Software de procesamiento de imagen, imagen integral, imagen 3D",ok
Caixa Capital Risc,WOOPTIX SL,"Metrología of semiconductores mediante the análisis of fase of frente of onda,","metrología de semiconductores mediante el análisis de fase de frente de onda,",review
MCH Private Equity Investments,World Coconut Trading,Operador leader in the sector of water of coco,Operador leader en el sector de agua de coco,ok
JME Venture Capital,WorldSensing,Conectividad inalámbrica for sistemas of monitoreo,conectividad inalámbrica para sistemas de monitoreo,review
HIG Capital,Worldwide Payment Systems,Plataforma reconciliación of pagos,Plataforma reconciliación de pagos,review
Alter Capital Desarrollo,Wuolads SL,Plataforma web,Plataforma web,ok
EIT Innoenergy,X1WIND,Sistemas of generación of energys renewables eólicas flotantes.,Sistemas de generación de energys renewables eólicas flotantes.,review
Ysios Capital Partners,XELTIS,Development of cardiac and pulmonary valves using biomaterials,Desarrollo de valvulas cardíacas y pulmonares con biomateriales,ok
Buenavista Equity Partners,Xoople,Observación terrestre,Observación terrestre,review
Fundación Ship2B,XR Health,Healthcare (treatment fobias),Healthcare (tratamiento fobias),ok
K Fund,XRF,Technology of defensa and seguridad,Technology de defensa y seguridad,ok
Asabys Partners,XRHealth (Amelia),Platform for realidad virtual for diseases psicológicas,Plataforma de realidad virtual para enfermedades psicológicas,review
Adara Ventures,XYZ Reality,With Tech (Data),Con Tech (Data),ok
EDP Ventures España,YData,Platform for data sintéticos,Plataforma de datos sintéticos,review
EDP Ventures España,Yotta Energy,Solution of almacenamiento solar distribuido,Solución de almacenamiento solar distribuido,ok
Bewater Asset Management,Zacatrus,Board-game publisher and distributor,Editora y distribuidora de juegos de mesa,ok
Suma Capital,Zamora Eco Energías,Construction and operation of a biomass district-heating system,Construction y operación de un district heating de biomasa,ok
Ourcrowd Iberia,Zebra,Healthcare,Healthcare,ok
Elewit,Zeleros,Hyperloop,Hyperloop,ok
EIT Innoenergy,ZELEROS,Solution of Hyperloop,Solución de Hyperloop,ok
Acurio Ventures,Zenklub,Platform for the Healthcare emocional,Plataforma para la Healthcare emocional,ok
4Founders Capital|Athos Capital,Zenrows,Platform for web scraping and procesamiento of información online,Plataforma de web scraping y procesamiento de información online,review
NOSO CAPITAL SGEIC S.A,Zerintia HealthTech,Healthtech,Healthtech,ok
Whitehole,Zetrack,E-farming,e-farming,ok
Athos Capital,Zinkee,Herramienta of trabajo colaborativo,Herramienta de trabajo colaborativo,ok
"Nazca Capital, S.G.E.I.C., S.A.",Zunibal,Solutions tecnológicas (boyas satelitales) for the industry pesquera,Soluciones tecnológicas (boyas satelitales) para la industry pesquera,review
